B_field,wavefunction_type,N,r_s,(E-E_mad)*r_s^(3/2)_Ha,std_err
nu=1,Integer quantum Hall,9,10,0.79841,6e-5
nu=1,Integer quantum Hall,9,20,0.7952,1.1e-4
nu=1,Integer quantum Hall,9,30,0.80179,9e-5
nu=1,Integer quantum Hall,9,40,0.80874,9e-5
nu=1,Integer quantum Hall,9,50,0.8150,1.4e-4
nu=1,Integer quantum Hall,9,60,0.8205,1.4e-4
nu=1,Integer quantum Hall,36,30,0.8252,1.2e-4
nu=1,Integer quantum Hall,36,40,0.8340,1.3e-4
nu=1,Integer quantum Hall,36,45,0.8378,1.9e-4
nu=1,Integer quantum Hall,36,50,0.8414,1.4e-4
nu=1,Integer quantum Hall,36,60,0.8478,1.5e-4
nu=1,Integer quantum Hall,121,30,0.8284,1.3e-4
nu=1,Integer quantum Hall,121,40,0.8375,1.2e-4
nu=1,Integer quantum Hall,121,45,0.8413,1.1e-4
nu=1,Integer quantum Hall,121,50,0.8449,1.4e-4
nu=1,Integer quantum Hall,121,60,0.8517,1.3e-4
nu=1,Integer quantum Hall,144,20,0.81909,7e-5
nu=1,Integer quantum Hall,144,30,0.8284,1.2e-4
nu=1,Integer quantum Hall,144,40,0.83736,9e-5
nu=1,Integer quantum Hall,144,45,0.8414,1.4e-4
nu=1,Integer quantum Hall,144,50,0.8453,1.3e-4
nu=1,Integer quantum Hall,144,60,0.8516,1e-4
nu=1,Integer quantum Hall,144,70,0.8570,2.6e-4
nu=1,Integer quantum Hall,144,80,0.8621,1.9e-4
nu=1,Landau level expansion,9,10,0.79834,6e-5
nu=1,Landau level expansion,9,20,0.79524,8e-5
nu=1,Landau level expansion,9,30,0.8017,1.3e-4
nu=1,Landau level expansion,9,40,0.8090,1.1e-4
nu=1,Landau level expansion,9,50,0.80574,7e-5
nu=1,Landau level expansion,9,60,0.80266,8e-5
nu=1,Landau level expansion,36,45,0.8395,1e-4
nu=1,Landau level expansion,36,50,0.8377,1e-4
nu=1,Landau level expansion,36,60,0.8349,1.4e-4
nu=1,Landau level expansion,121,45,0.8453,1.3e-4
nu=1,Landau level expansion,121,50,0.8439,2.1e-4
nu=1,Landau level expansion,121,60,0.8407,1.8e-4
nu=1,Landau level expansion,144,45,0.84448,9e-5
nu=1,Landau level expansion,144,50,0.8429,1.9e-4
nu=1,Landau level expansion,144,60,0.8402,1.7e-4
nu=1,Landau level expansion,144,70,0.8378,2.9e-4
nu=1,Landau level expansion,144,80,0.8362,4e-4
nu=1,Gaussian,9,10,0.79828,9e-5
nu=1,Gaussian,9,20,0.7950,1.2e-4
nu=1,Gaussian,9,30,0.8017,1.1e-4
nu=1,Gaussian,9,40,0.81048,8e-5
nu=1,Gaussian,9,50,0.8067,1.1e-4
nu=1,Gaussian,9,60,0.80322,8e-5
nu=1,Gaussian,36,45,0.8395,1e-4
nu=1,Gaussian,36,50,0.83751,8e-5
nu=1,Gaussian,36,60,0.83413,9e-5
nu=1,Gaussian,121,45,0.84355,7e-5
nu=1,Gaussian,121,50,0.84173,5e-5
nu=1,Gaussian,121,60,0.83830,8e-5
nu=1,Gaussian,144,45,0.84373,9e-5
nu=1,Gaussian,144,50,0.8417,1.1e-4
nu=1,Gaussian,144,60,0.83841,6e-5
nu=2,Integer quantum Hall,64,30,0.82384,7e-5
nu=2,Integer quantum Hall,64,35,0.82731,9e-5
nu=2,Integer quantum Hall,64,40,0.8307,1.2e-4
nu=2,Integer quantum Hall,64,45,0.83389,8e-5
nu=2,Landau level expansion,64,30,0.82376,8e-5
nu=2,Landau level expansion,64,35,0.8296,1.2e-4
nu=2,Landau level expansion,64,40,0.82896,9e-5
nu=2,Landau level expansion,64,45,0.8285,1e-4
nu=2,Gaussian,64,30,0.83043,6e-5
nu=2,Gaussian,64,35,0.8296,1e-4
nu=2,Gaussian,64,40,0.82876,8e-5
nu=2,Gaussian,64,45,0.82808,9e-5
B=0,Fermi liquid,121,10,0.82401,2.2e-5
B=0,Fermi liquid,121,20,0.81714,3e-5
B=0,Fermi liquid,121,30,0.82260,4e-5
B=0,Fermi liquid,121,40,0.82910,5e-5
B=0,Fermi liquid,121,50,0.83524,7e-5
B=0,Planewave expansion,121,10,0.83179,2.1e-5
B=0,Planewave expansion,121,20,0.82154,3e-5
B=0,Planewave expansion,121,30,0.82325,6e-5
B=0,Planewave expansion,121,40,0.82462,6e-5
B=0,Planewave expansion,121,50,0.8251,1e-4
B=0,Gaussian,121,10,0.83191,2.8e-5
B=0,Gaussian,121,20,0.82256,4e-5
B=0,Gaussian,121,30,0.82378,4e-5
B=0,Gaussian,121,40,0.82434,5e-5
B=0,Gaussian,121,50,0.82417,5e-5
